timestamp,temperature,humidity
2024-04-17 00:00:01,23.5,55.2
2024-04-17 00:00:02,23.6,55.3
2024-04-17 00:00:03,23.7,55.1
2024-04-17 00:00:04,23.6,55.0
2024-04-17 00:00:05,23.8,54.9
2024-04-17 00:00:06,23.9,55.0
2024-04-17 00:00:07,24.0,55.2
2024-04-17 00:00:08,24.1,55.3
2024-04-17 00:00:09,24.2,55.4
2024-04-17 00:00:10,24.3,55.5
2024-04-17 00:00:11,24.4,55.6
2024-04-17 00:00:12,24.5,55.7
2024-04-17 00:00:13,24.6,55.8
2024-04-17 00:00:14,24.7,55.9
2024-04-17 00:00:15,24.8,56.0
2024-04-17 00:00:16,24.9,56.1
2024-04-17 00:00:17,25.0,56.2
2024-04-17 00:00:18,25.1,56.3
2024-04-17 00:00:19,25.2,56.4
2024-04-17 00:00:20,25.3,56.5
2024-04-17 00:00:21,25.4,56.6
2024-04-17 00:00:22,25.5,56.7
2024-04-17 00:00:23,25.6,56.8
2024-04-17 00:00:24,25.7,56.9
2024-04-17 00:00:25,25.8,57.0
2024-04-17 00:00:26,25.9,57.1
2024-04-17 00:00:27,26.0,57.2
2024-04-17 00:00:28,26.1,57.3
2024-04-17 00:00:29,26.2,57.4
2024-04-17 00:00:30,26.3,57.5
2024-04-17 00:00:31,26.4,57.6
2024-04-17 00:00:32,26.5,57.7
2024-04-17 00:00:33,26.6,57.8
2024-04-17 00:00:34,26.7,57.9
2024-04-17 00:00:35,26.8,58.0
2024-04-17 00:00:36,26.9,58.1
2024-04-17 00:00:37,27.0,58.2
2024-04-17 00:00:38,27.1,58.3
2024-04-17 00:00:39,27.2,58.4
2024-04-17 00:00:40,27.3,58.5
2024-04-17 00:00:41,27.4,58.6
2024-04-17 00:00:42,27.5,58.7
2024-04-17 00:00:43,27.6,58.8
2024-04-17 00:00:44,27.7,58.9
2024-04-17 00:00:45,27.8,59.0
2024-04-17 00:00:46,27.9,59.1
2024-04-17 00:00:47,28.0,59.2
2024-04-17 00:00:48,28.1,59.3
2024-04-17 00:00:49,28.2,59.4
2024-04-17 00:00:50,28.3,59.5
2024-04-17 00:00:51,28.4,59.6
2024-04-17 00:00:52,28.5,59.7
2024-04-17 00:00:53,28.6,59.8
2024-04-17 00:00:54,28.7,59.9
2024-04-17 00:00:55,28.8,60.0
2024-04-17 00:00:56,28.9,60.1
2024-04-17 00:00:57,29.0,60.2
2024-04-17 00:00:58,29.1,60.3
2024-04-17 00:00:59,29.2,60.4
2024-04-17 00:01:00,29.3,60.5
